Date;Country;Confirmed;Recovered;Deaths
04.03.2020;Poland;1;0;0
05.03.2020;Poland;1;0;0
06.03.2020;Poland;5;0;0
07.03.2020;Poland;5;0;0
08.03.2020;Poland;11;0;0
09.03.2020;Poland;16;0;0
10.03.2020;Poland;22;0;0
11.03.2020;Poland;31;0;0
12.03.2020;Poland;49;0;1
13.03.2020;Poland;68;0;2
14.03.2020;Poland;103;0;3
15.03.2020;Poland;119;0;3
16.03.2020;Poland;177;1;4
17.03.2020;Poland;238;1;5
18.03.2020;Poland;251;1;5
19.03.2020;Poland;355;1;5
20.03.2020;Poland;425;1;5
21.03.2020;Poland;536;1;5
22.03.2020;Poland;634;1;7
23.03.2020;Poland;749;1;8
24.03.2020;Poland;901;1;10
25.03.2020;Poland;1051;7;14
26.03.2020;Poland;1221;7;16
27.03.2020;Poland;1389;7;16
28.03.2020;Poland;1638;7;18
29.03.2020;Poland;1862;7;22
30.03.2020;Poland;2055;7;31
31.03.2020;Poland;2311;7;33
01.04.2020;Poland;2554;47;43
02.04.2020;Poland;2946;56;57
03.04.2020;Poland;3383;56;71
04.04.2020;Poland;3627;116;79
05.04.2020;Poland;4102;134;94
06.04.2020;Poland;4413;162;107
07.04.2020;Poland;4848;191;129
08.04.2020;Poland;5205;222;159
09.04.2020;Poland;5575;284;174
10.04.2020;Poland;5955;318;181
11.04.2020;Poland;6356;375;208
12.04.2020;Poland;6674;439;232
13.04.2020;Poland;6934;487;245
14.04.2020;Poland;7202;618;263
15.04.2020;Poland;7582;668;286
16.04.2020;Poland;7918;774;314
17.04.2020;Poland;8379;866;332
18.04.2020;Poland;8742;981;347
19.04.2020;Poland;9287;1040;360
20.04.2020;Poland;9593;1133;380
21.04.2020;Poland;9856;1297;401
22.04.2020;Poland;10169;1513;426
23.04.2020;Poland;10511;1740;454
24.04.2020;Poland;10892;1944;494
25.04.2020;Poland;11273;2126;524
26.04.2020;Poland;11617;2265;535
27.04.2020;Poland;11902;2466;562
28.04.2020;Poland;12218;2655;596
29.04.2020;Poland;12640;3025;624
30.04.2020;Poland;12877;3236;644
01.05.2020;Poland;13105;3491;651
02.05.2020;Poland;13375;3762;664
03.05.2020;Poland;13693;3945;678
04.05.2020;Poland;14006;4095;698
05.05.2020;Poland;14431;4280;716
06.05.2020;Poland;14740;4655;733
07.05.2020;Poland;15047;4862;755
08.05.2020;Poland;15366;5184;776
09.05.2020;Poland;15651;5437;785
10.05.2020;Poland;15996;5698;800
11.05.2020;Poland;16326;5816;811
12.05.2020;Poland;16921;6131;839
13.05.2020;Poland;17204;6410;861
14.05.2020;Poland;17615;6696;883
15.05.2020;Poland;18016;6918;907
16.05.2020;Poland;18257;7175;915
17.05.2020;Poland;18529;7451;925
18.05.2020;Poland;18885;7628;936
19.05.2020;Poland;19268;7903;948
20.05.2020;Poland;19739;8183;962
21.05.2020;Poland;20143;8452;972
22.05.2020;Poland;20619;8731;982
23.05.2020;Poland;20931;8977;993
24.05.2020;Poland;21326;9194;996
25.05.2020;Poland;21631;9276;1007
26.05.2020;Poland;22074;10020;1024
27.05.2020;Poland;22473;10330;1028
28.05.2020;Poland;22825;10560;1038
29.05.2020;Poland;23155;10692;1051
30.05.2020;Poland;23571;11016;1061
31.05.2020;Poland;23786;11271;1064
01.06.2020;Poland;24165;11449;1074
02.06.2020;Poland;24395;11726;1092
03.06.2020;Poland;24687;12014;1115
04.06.2020;Poland;25048;12227;1117
05.06.2020;Poland;25410;12410;1137
06.06.2020;Poland;25986;12641;1153
07.06.2020;Poland;26561;12855;1157
08.06.2020;Poland;27160;12998;1166
